Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet1	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
48	-8.179111	2.7470157	-3.8180254	-19.003704	-8.282466	4.791459	-1.5794537	-20.02815	50.0	50.0	191999	-8.128649	2.2556481	4.727485	-19.70629	-8.128974	2.2543457	4.840393	-20.130898	7.869911	2.0242538	1768.8570578098297
49	-7.875107	2.4305193	-3.543154	-20.536634	-6.6722536	1.5615925	-3.372374	-8.97838	50.0	50.0	195999	-8.0979185	2.2664797	14.770204	-20.818893	-8.0980015	2.2659907	9.324376	-20.629574	7.848752	1.9859881	1806.710450410843
50	-7.8434906	2.1516974	-3.035862	-12.891474	-6.5885835	2.2410045	-1.8083345	-8.570556	50.0	50.0	199999	-8.089533	2.2643085	6.020213	-20.478212	-8.089775	2.2637427	6.0092793	-20.995096	7.826585	1.9737129	1844.9380376338959
51	-8.113928	2.1214921	-2.8769891	-12.583848	-6.7135963	2.2380981	-2.8778098	-11.007704	50.0	50.0	203999	-8.090069	2.2882807	9.007121	-19.864702	-8.090144	2.2892876	6.515645	-19.886992	7.8386855	1.9265661	1883.3090269565582
52	-8.291014	2.1532414	-2.7614458	-19.438229	-7.7497954	2.5331476	-2.7180357	-12.4148855	50.0	50.0	207999	-8.015352	2.3066466	10.61479	-19.756481	-8.015548	2.3059707	8.142977	-19.84234	7.7701697	1.9263674	1921.5459213256836
53	-8.217532	1.9638194	-3.048508	-15.371319	-6.2381315	2.248323	-1.7102244	-9.27088	50.0	50.0	211999	-7.970815	2.2858355	6.2477064	-20.144508	-7.9708767	2.2859719	5.9278946	-21.05664	7.736551	1.8930434	1959.721001625061
54	-8.286043	2.4774904	-3.4251487	-21.431234	-6.163458	2.468174	-4.6063933	-13.405749	50.0	50.0	215999	-7.9234624	2.2636476	10.506997	-21.10585	-7.923551	2.2633626	9.59608	-20.545092	7.6837525	1.8668343	1997.910451889038
55	-8.118273	1.8370233	-4.010876	-13.750418	-6.0937924	2.1370625	-1.7925283	-9.614852	50.0	50.0	219999	-7.8633857	2.2278712	6.7937446	-21.587507	-7.8635473	2.2282186	10.391267	-21.168346	7.616872	1.8607548	2035.98308968544
56	-7.5407133	2.196519	-4.158751	-17.469328	-6.6155066	2.2195654	-2.523299	-9.803226	50.0	50.0	223999	-7.8379493	2.1732905	7.1926794	-19.883125	-7.838008	2.1726608	5.4321165	-21.052397	7.5998807	1.8186593	2073.979998588562
57	-7.8350363	2.1210327	-3.2091112	-15.301723	-4.889361	1.0122564	-2.9578779	-6.2304945	50.0	50.0	227999	-7.8084817	2.1508842	12.125019	-20.74488	-7.808572	2.1513507	5.933627	-21.28579	7.57778	1.8690835	2111.903064727783
58	-7.799132	2.622765	-3.4927413	-19.880396	-5.401635	1.89122	-2.6690042	-9.2603855	50.0	50.0	231999	-7.8031387	2.153154	5.852665	-20.976778	-7.803263	2.1525662	11.908636	-22.594036	7.5749826	1.8049268	2150.1116604804993
59	-7.472673	2.0601072	-2.5305977	-13.039085	-6.22293	1.7322761	-3.4941688	-9.563246	50.0	50.0	235999	-7.7874537	2.1627758	3.7807984	-21.018974	-7.7874675	2.1632102	15.006141	-20.988972	7.5583553	1.8260792	2188.432849884033
60	-7.510156	1.8448716	-3.2889843	-13.923142	-7.2267394	1.2908657	-4.2237124	-9.069166	50.0	50.0	239999	-7.778116	2.1645105	8.848885	-21.019941	-7.778279	2.1648502	8.325089	-20.104845	7.5439305	1.8033205	2226.0935111045837
61	-7.612979	1.6604548	-3.3582065	-11.463505	-6.98899	1.839888	-3.951864	-10.431103	50.0	50.0	243999	-7.758959	2.1270897	6.301875	-19.947845	-7.7589025	2.1280034	7.386805	-21.013596	7.5276914	1.8385249	2264.129725933075
62	-7.7131805	2.2109416	-3.7142446	-19.09926	-5.952654	1.533703	-4.290582	-8.628605	50.0	50.0	247999	-7.783424	2.1164591	4.9731245	-21.073236	-7.7835727	2.116825	8.340161	-21.43469	7.56265	1.8352557	2302.4630765914917
63	-7.891492	1.8315442	-2.8541934	-11.347492	-6.3165116	1.8673005	-2.480295	-9.289415	50.0	50.0	251999	-7.799514	2.134597	6.5057473	-22.24463	-7.7994804	2.1356912	7.9101205	-22.82982	7.5711327	1.85418	2340.3758709430695
64	-7.2119875	1.663226	-3.1798353	-10.630889	-5.8741164	1.656842	-3.191227	-9.580847	50.0	50.0	255999	-7.8069887	2.1306517	9.748058	-20.442333	-7.8070545	2.131024	7.79972	-21.338037	7.5835605	1.8425716	2378.3194513320923
65	-7.4599013	1.8867176	-3.0786884	-12.865853	-5.3449135	1.3412745	-4.0395575	-7.122249	50.0	50.0	259999	-7.772571	2.1301293	6.9108686	-21.826878	-7.7726693	2.1307623	6.396909	-20.652473	7.545778	1.8479978	2416.5001702308655
66	-7.3135667	1.8469735	-3.0831425	-12.415094	-6.3734627	0.990839	-5.1777654	-8.516832	50.0	50.0	263999	-7.7272067	2.1450548	8.256989	-21.264118	-7.7272077	2.1458864	14.512056	-20.642853	7.5010324	1.8633876	2454.749162912369
67	-7.443164	1.9959162	-2.513133	-12.108709	-7.212709	1.5973676	-4.17917	-9.927924	50.0	50.0	267999	-7.7008486	2.1398277	6.779134	-21.53238	-7.700942	2.1404147	7.7854133	-22.712055	7.4864345	1.8334439	2492.684763431549
68	-7.344214	2.1051621	-3.4165168	-12.31087	-6.0162497	2.4410255	-3.2767467	-11.175031	50.0	50.0	271999	-7.6690164	2.1187565	10.818912	-21.34977	-7.669131	2.1192088	8.733542	-22.097343	7.4485383	1.7679197	2531.164940595627
69	-7.226663	1.9502262	-3.2940738	-12.834736	-5.2927885	2.3632429	-1.9482489	-9.471543	50.0	50.0	275999	-7.657898	2.101048	8.681175	-19.772245	-7.6579404	2.1022027	10.707129	-20.014679	7.447573	1.7863516	2569.1103932857513
70	-7.54688	1.7341878	-4.2070007	-12.122006	-6.1010222	1.5765133	-4.418164	-9.785646	50.0	50.0	279999	-7.6716337	2.0963387	10.662542	-20.299278	-7.6717286	2.0965211	4.87761	-20.235353	7.4665475	1.807409	2606.9957501888275
71	-7.775345	2.0651479	-2.9589984	-13.264018	-6.29369	2.2605212	-2.789478	-9.047313	50.0	50.0	283999	-7.701978	2.1329591	6.1795692	-24.229704	-7.7020664	2.1329403	6.047696	-23.208872	7.490989	1.7761382	2645.4320311546326
72	-9.069763	5.2043033	-3.492802	-38.99334	-13.0277195	10.175236	-6.4045568	-33.880653	50.0	50.0	287999	-7.6976337	2.146603	6.114147	-21.445082	-7.697913	2.1468806	4.922282	-21.602758	7.4815025	1.8300036	2683.5397112369537
73	-7.938226	2.6192784	-3.8263893	-19.692825	-8.858171	3.7386024	-4.185481	-16.86921	50.0	50.0	291999	-7.6900935	2.161331	5.7349477	-22.59843	-7.690252	2.1620646	6.840974	-21.95972	7.469082	1.838067	2721.994034051895
74	-6.907918	1.8200481	-3.01436	-12.483639	-5.6204195	1.9321513	-1.9350603	-7.8588347	50.0	50.0	295999	-7.730081	2.183585	4.900803	-21.840694	-7.729978	2.1842937	8.234397	-20.97797	7.516881	1.8615544	2759.929766178131
75	-7.126545	1.8412925	-2.7424107	-11.102113	-7.474515	2.5977364	-3.0398898	-11.442162	50.0	50.0	299999	-7.7436686	2.1921093	5.9806194	-21.59395	-7.743759	2.1915774	3.0671446	-21.39822	7.5361757	1.8419322	2797.9943132400513
76	-7.049806	1.7815064	-2.979285	-11.35463	-5.665449	1.8074594	-1.9613726	-7.721614	50.0	50.0	303999	-7.7002673	2.1860735	11.764383	-21.512527	-7.7001805	2.186954	12.054036	-21.740072	7.4871063	1.8614066	2836.276301383972
77	-6.839087	1.7985625	-2.7044494	-10.679957	-6.774717	1.9087372	-3.1670616	-9.1726885	50.0	50.0	307999	-7.676391	2.1617506	11.532602	-21.614105	-7.676469	2.1618533	6.1287556	-21.785658	7.4679213	1.8326206	2874.307081222534
78	-7.37248	1.6636962	-2.32148	-12.00876	-5.6923795	2.0489373	-3.065632	-9.413947	50.0	50.0	311999	-7.6255517	2.1443024	6.8183823	-21.344038	-7.625404	2.1446576	9.9052305	-21.892166	7.421027	1.785917	2912.340159893036
79	-7.2880106	1.9036099	-2.9810002	-11.354188	-6.103509	1.8002715	-3.503029	-9.434833	50.0	50.0	315999	-7.594085	2.1120918	7.8247366	-21.753534	-7.5941777	2.1123426	7.5589485	-21.961987	7.3913617	1.7613281	2949.9181141853333
80	-6.700965	1.7703694	-3.1513119	-10.083222	-6.232544	0.7443101	-5.1481156	-7.613622	50.0	50.0	319999	-7.5801196	2.0856218	6.2293696	-21.905983	-7.5802817	2.0856314	6.116745	-22.529657	7.3809576	1.7689421	2988.205842733383
81	-7.228901	1.876591	-3.2579699	-11.0423565	-5.542751	1.6195087	-2.6641893	-9.122381	50.0	50.0	323999	-7.564899	2.0717196	5.003903	-21.339754	-7.5651326	2.0716538	14.146046	-22.205252	7.369986	1.7607456	3026.389172554016
82	-7.4451356	1.9107147	-3.102909	-11.088444	-6.076181	1.4271703	-3.4052954	-8.687614	50.0	50.0	327999	-7.564916	2.0764143	9.883008	-21.768024	-7.56479	2.076926	3.9355872	-20.806368	7.368913	1.7953686	3064.318023443222
83	-7.3321013	1.5517014	-4.0040994	-11.897239	-5.464011	2.1358335	-2.9399965	-10.75259	50.0	50.0	331999	-7.552548	2.0953536	9.581319	-22.130226	-7.5526	2.0950902	5.0629015	-21.539612	7.3550415	1.8075509	3102.571030139923
84	-7.3373017	1.765691	-3.2617793	-11.558429	-5.870446	2.1192822	-2.1583	-9.52721	50.0	50.0	335999	-7.537596	2.118998	7.1159	-20.57252	-7.5376205	2.1190386	5.470584	-20.537346	7.333074	1.7840323	3141.075414657593
85	-7.318522	1.6506689	-3.735281	-11.195565	-6.433076	1.6264781	-2.5574074	-8.216139	50.0	50.0	339999	-7.545143	2.0989897	5.701276	-20.816582	-7.5451016	2.0991092	5.582917	-20.042747	7.350681	1.7837589	3178.645245075226
86	-7.4299	1.9344001	-2.6066523	-11.873582	-6.0983305	1.4555985	-3.4217205	-8.321804	50.0	50.0	343999	-7.5134473	2.0762193	6.824796	-20.74421	-7.5135317	2.0765338	5.1141424	-20.767996	7.3266096	1.7198119	3216.8944005966187
87	-6.7352705	1.8948258	-2.8145523	-10.559304	-7.041181	1.0040021	-5.1396494	-8.800764	50.0	50.0	347999	-7.49083	2.050554	5.96008	-21.121387	-7.490864	2.0507576	5.16008	-21.144464	7.3035917	1.7450081	3255.228616952896
88	-6.931525	2.0683494	-2.6768103	-11.592126	-4.094204	1.7684265	-2.3505585	-8.062558	50.0	50.0	351999	-7.47425	2.0439281	4.4906597	-21.137125	-7.4741664	2.0447738	5.097398	-19.961042	7.286454	1.7430941	3293.3694932460785
89	-7.3169794	1.9784576	-3.0899432	-11.360602	-5.049146	1.3019037	-3.6598492	-8.09297	50.0	50.0	355999	-7.441788	2.0460384	5.202318	-22.942848	-7.4417777	2.0464694	8.78413	-22.143412	7.2541575	1.7104715	3331.170409679413
90	-7.185041	2.88577	-2.5378797	-26.645033	-5.751	1.7012076	-3.225288	-8.502429	50.0	50.0	359999	-7.4141293	2.0505264	7.6408925	-21.41553	-7.414336	2.050024	6.711362	-20.860289	7.2272186	1.7270235	3369.260439157486
91	-7.176454	1.9197719	-3.089356	-10.52242	-5.831105	1.4057814	-2.6578646	-8.139674	50.0	50.0	363999	-7.3828354	2.0376954	7.174453	-19.989496	-7.383038	2.0383854	5.7905564	-19.295172	7.194663	1.7055353	3408.0578920841217
92	-7.786897	2.2097313	-2.876354	-18.988914	-5.9325185	2.125089	-2.9789228	-9.019497	50.0	50.0	367999	-7.3560586	2.01743	4.0867186	-20.42541	-7.3561306	2.0180745	9.337883	-20.115997	7.1793504	1.6851311	3445.354888677597
93	-6.805504	2.107903	-2.7461338	-11.058304	-6.5466247	1.5235119	-4.770057	-10.319868	50.0	50.0	371999	-7.402452	2.0020337	8.710113	-20.493296	-7.40249	2.002855	9.2411995	-20.432121	7.2268343	1.6971874	3483.6588730812073
94	-6.6791296	1.9800985	-2.4925425	-11.541432	-4.585887	1.6332006	-2.0224977	-7.5144687	50.0	50.0	375999	-7.4361286	2.0192685	8.42976	-19.343407	-7.436174	2.018002	6.7166758	-19.309196	7.254584	1.7116764	3522.2652966976166
95	-7.500281	1.9331607	-2.859408	-11.586623	-6.5443673	2.0057504	-2.7212005	-9.171583	50.0	50.0	379999	-7.4310336	2.0264838	3.917929	-20.637022	-7.4312086	2.0263445	5.9612255	-20.159742	7.249192	1.7385663	3560.5895669460297
96	-7.1100807	1.9647888	-3.028331	-10.495312	-6.320604	1.8432201	-2.31358	-9.555483	50.0	50.0	383999	-7.40253	2.0375824	6.3570776	-21.063416	-7.402446	2.0379503	6.9502964	-20.759712	7.222782	1.722796	3598.582852125168
97	-7.0592194	2.0655825	-2.2249222	-12.950332	-5.451299	2.1899316	-2.0056658	-8.780609	50.0	50.0	387999	-7.413875	2.0219104	6.3481274	-21.168335	-7.413955	2.0218332	7.4580307	-20.637754	7.235045	1.6924733	3636.8816027641296
98	-7.391196	2.200872	-3.3344865	-12.936039	-5.3196726	2.7386935	-2.3633468	-11.293378	50.0	50.0	391999	-7.3694463	2.0403218	7.4482174	-20.165112	-7.369869	2.0402148	5.973426	-20.556932	7.1931	1.7319456	3675.113651752472
99	-7.358191	2.080375	-2.9156492	-12.026774	-5.7259746	2.7611873	-1.1402313	-9.09533	50.0	50.0	395999	-7.3119006	2.0409007	7.950268	-21.249817	-7.311844	2.0406034	5.1150074	-20.858463	7.1345973	1.6722969	3712.8456795215607
100	-7.3957777	1.9859246	-2.3253932	-13.33545	-5.973081	2.037794	-3.0062046	-9.724037	50.0	50.0	399999	-7.274664	2.0008273	5.6215515	-20.484545	-7.2744236	2.0016627	9.894712	-19.583256	7.1010265	1.6249357	3750.922535419464
101	-6.8385544	1.7432916	-3.320684	-10.619693	-4.325428	1.4317377	-1.9369018	-6.0971932	50.0	50.0	403999	-7.276695	1.973479	6.479577	-22.509361	-7.2766886	1.9740951	4.8201795	-21.997486	7.1011186	1.6204412	3789.053836107254
102	-6.8492002	2.293503	-2.4611638	-11.215488	-6.414454	1.4737102	-3.171519	-7.9777994	50.0	50.0	407999	-7.3009515	2.0077248	9.361129	-23.847475	-7.3010583	2.0072622	5.5814295	-22.883183	7.133679	1.6990259	3826.669546365738
